codigo,nombre,estado
0105,"Dirección Administrativa",activo
0402,"Dirección De Desarrollo Economico Local",activo
0301,"Dirección De Desarrollo Social",activo
0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0401,"Dirección De Servicios Y Obras Municipales",activo
0103,"Direccion Distrital",activo
0102,"Direccion Ejecutiva",activo
